Card   1: 79  1  6  9 88 95 84 69 83 97 | 42 95  1  6 71 69 61 99 84 12 32 96  9 82 88 97 53 24 28 65 83 38  8 68 79
Card   2: 34 76 23 61 56 74 13 42 18  6 | 18 13 21 64 74 97 34 43 31 23 56 82 76 61 45 69 10 81 48  6  9 30 47 95 42
Card   3: 12 88 28 50 46 69 62 95  6 51 | 66 12 62 82  6 46 77 88 36 74 50 54 40 99 89 11 33 78 87 69 75 96  2 21 71
Card   4: 50 80 66 43 82 53 35 51 39 48 | 43 82 48 10 91  7 80 66 51 63 84 35 19 44  9 39 72 85 50 53 73  1 26 75 86
Card   5: 63 83 42 98 60 47 36 59 93 18 | 53 47 67  5 17 60 92 93 20 84 10 98 39 86 41 16 31 83 42 94 25 82 61 95 44
Card   6: 54 26 43 52 75 55 84 71 85 69 | 99 80 79 24 64 13 93  1 87  9 15 50 32 89 72 52 60 53 12 96 30 98 86 31 92
Card   7:  4 98 40 78 24 38 80 32 75 97 | 32 24 78 97 57 40 82 75 70 76 98 37 35 38 64 91 28 46 39 90 80 87 22  4 45
Card   8: 61 98 49 16  4 24 32 79 23 28 | 56 27 24 40 47 98 75 49 34 23 80 61 68 32 94 16 79 31  4  8 62 46 53 28  7
Card   9: 77 15 52 60 86 19  5 33 65 83 | 67 69 94 16 13 17 27 53 75 59 36 38 80 86 58 61 63 24 85 44 99 70 92 47 14
Card  10: 44 58 28 36 72 78 96 69 95 56 | 69 81 29 61 95 52 18 28 72 96 23 75 44 77  2 87 11 36 56 39 73 26 98 78 58
